Date,State,Abbreviation,Regular,Mid-Grade,Premium,Diesel
2026-04-01,Alaska,AK,4.591,4.83,5.093,5.649
2026-04-01,Arizona,AZ,4.696,5.08,5.392,6.036
2026-04-01,Arkansas,AR,3.49,3.936,4.277,4.92
2026-04-01,California,CA,5.892,6.131,6.316,7.522
2026-04-01,Colorado,CO,3.854,4.25,4.579,4.902
2026-04-01,Connecticut,CT,4.0,4.509,4.925,5.883
2026-04-01,Delaware,DE,3.885,4.458,4.763,5.747
2026-04-01,District of Columbia,DC,4.197,4.735,5.119,5.697
2026-04-01,Florida,FL,4.219,4.646,4.972,5.8
2026-04-01,Georgia,GA,3.676,4.148,4.564,5.229
2026-04-01,Hawaii,HI,5.462,5.692,5.929,6.732
2026-04-01,Idaho,ID,4.272,4.559,4.819,5.512
2026-04-01,Illinois,IL,4.251,4.825,5.307,5.143
2026-04-01,Indiana,IN,3.965,4.511,5.0,5.179
2026-04-01,Iowa,IA,3.429,3.602,4.268,4.849
2026-04-01,Kansas,KS,3.319,3.654,3.974,4.561
2026-04-01,Kentucky,KY,3.878,4.398,4.835,5.086
2026-04-01,Louisiana,LA,3.705,4.151,4.535,5.19
2026-04-01,Maine,ME,3.901,4.439,4.915,5.784
2026-04-01,Maryland,MD,4.048,4.603,4.945,5.833
2026-04-01,Massachusetts,MA,3.848,4.406,4.806,5.765
2026-04-01,Michigan,MI,3.902,4.499,5.06,4.997
2026-04-01,Minnesota,MN,3.519,3.96,4.455,4.867
2026-04-01,Mississippi,MS,3.677,4.1,4.482,5.161
2026-04-01,Missouri,MO,3.464,3.874,4.18,4.622
2026-04-01,Montana,MT,3.741,4.066,4.399,4.827
2026-04-01,Nebraska,NE,3.411,3.578,4.025,4.615
2026-04-01,Nevada,NV,4.94,5.246,5.543,6.222
2026-04-01,New Hampshire,NH,3.847,4.377,4.828,5.705
2026-04-01,New Jersey,NJ,4.022,4.529,4.8,5.825
2026-04-01,New Mexico,NM,3.839,4.269,4.584,5.255
2026-04-01,New York,NY,3.985,4.476,4.863,5.806
2026-04-01,North Carolina,NC,3.903,4.342,4.733,5.648
